author_id,link-href,title,author,description,genres,isbn,location,cover,date
22,https://www.goodreads.com/book/show/5705284-google-speaks,Google Speaks,Janet Lowe,null,Business,"047039854X
                      (ISBN13: 9780470398548)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348883110l/5705284.jpg,(first published April 22nd 2009)
23,https://www.goodreads.com/book/show/6514908-googled,Googled: The End of the World as We Know It,Ken Auletta,null,Science,"1594202354
                      (ISBN13: 9781594202353)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg,(first published 2009)
24,https://www.goodreads.com/book/show/2896061-groundswell,Groundswell: Winning in a World Transformed by Social Technologies,Charlene Li,null,Nonfiction,"1422125009
                      (ISBN13: 9781422125007)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg,(first published January 1st 2008)
25,https://www.goodreads.com/book/show/41611.Hard_Drive,Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace,null,Business,"0887306292
                      (ISBN13: 9780887306297)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440431674l/41611._SY475_.jpg,(first published January 1st 1992)
26,https://www.goodreads.com/book/show/18669497-haunted-empire,Haunted Empire: Apple After Steve Jobs,Yukari Iwatani Kane,null,Biography,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391414801l/18669497.jpg,(first published March 1st 2014)
27,https://www.goodreads.com/book/show/2025353.Hooking_Up,Hooking Up,Tom Wolfe,null,Writing,"0374103828
                      (ISBN13: 9780374103828)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423503927l/2025353.jpg,(first published 1989)
28,https://www.goodreads.com/book/show/23158207-how-google-works,How Google Works,Eric Schmidt,null,Science,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422538855l/23158207.jpg,(first published September 1st 2014)
29,https://www.goodreads.com/book/show/9871673-i-m-feeling-lucky,I'm Feeling Lucky: The Confessions of Google Employee Number 59,Douglas Edwards,null,Google,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438696440l/9871673._SY475_.jpg,(first published January 1st 2011)
30,https://www.goodreads.com/book/show/12987640-imagine,Imagine: How Creativity Works,Jonah Lehrer,null,Biology,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327000473l/12987640.jpg,null
31,https://www.goodreads.com/book/show/18937.In_the_Beginning_Was_the_Command_Line,In the Beginning...Was the Command Line,Neal Stephenson,null,Writing,"0380815931
                      (ISBN13: 9780380815937)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709658l/18937.jpg,(first published May 1999)
32,https://www.goodreads.com/book/show/56825.Insanely_Great,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,null,Nonfiction,"0140291776
                      (ISBN13: 9780140291773)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924623l/56825.jpg,(first published July 5th 1993)
33,https://www.goodreads.com/book/show/493181.Inside_Intel,Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company,Tim Jackson,null,History,"0452276438
                      (ISBN13: 9780452276437)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387738557l/493181.jpg,(first published April 1997)
34,https://www.goodreads.com/book/show/2363692.Inside_Steve_s_Brain,Inside Steve's Brain,Leander Kahney,null,Business,"1591841984
                      (ISBN13: 9781591841982)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440892053l/2363692._SX318_.jpg,(first published January 1st 2008)
35,https://www.goodreads.com/book/show/9319468-kingpin,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,null,Technology,"0307588688
                      (ISBN13: 9780307588685)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320477825l/9319468.jpg,null
36,https://www.goodreads.com/book/show/211099.Losing_My_Virginity,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",Richard Branson,null,Management,"0812932293
                      (ISBN13: 9780812932294)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388216295l/211099.jpg,(first published 1998)
37,https://www.goodreads.com/book/show/22608584-marissa-mayer-and-the-fight-to-save-yahoo,Marissa Mayer and the Fight to Save Yahoo!,Nicholas Carlson,null,Business,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409613156l/22608584.jpg,null
38,https://www.goodreads.com/book/show/12173.Nightwork,Nightwork: A History of Hacks and Pranks at MIT,T.F. Peterson,null,Academic,"0262661373
                      (ISBN13: 9780262661379)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347525378l/12173.jpg,null
39,https://www.goodreads.com/book/show/18213403-no-place-to-hide,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,null,Biography,"162779073X
                      (ISBN13: 9781627790734)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383352779l/18213403.jpg,null
40,https://www.goodreads.com/book/show/412006.On_the_Edge,On the Edge: The Spectacular Rise and Fall of Commodore,Brian  Bagnall,null,Nerd,"0973864907
                      (ISBN13: 9780973864908)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328861455l/412006.jpg,(first published September 14th 2005)
41,https://www.goodreads.com/book/show/2288436.Once_You_re_Lucky_Twice_You_re_Good,"Once You're Lucky, Twice You're Good: The Rebirth of Silicon Valley and the Rise of Web 2.0",Sarah Lacy,null,Technology,"1592403824
                      (ISBN13: 9781592403820)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437664392l/2288436._SY475_.jpg,null
42,https://www.goodreads.com/book/show/1110713.Options,Options: The Secret Life of Steve Jobs,Fake Steve Jobs,null,Comedy,"0306815842
                      (ISBN13: 9780306815843)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442080198l/1110713._SY475_.jpg,(first published October 18th 2007)
43,https://www.goodreads.com/book/show/3839314-planet-google,Planet Google: One Company's Audacious Plan to Organize Everything We Know,Randall E. Stross,null,Business,"141654691X
                      (ISBN13: 9781416546917)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348605830l/3839314.jpg,(first published January 1st 2008)
44,https://www.goodreads.com/book/show/40492.Revolution_in_The_Valley,Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld,null,Literature,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388288490l/40492.jpg,(first published December 6th 2004)
45,https://www.goodreads.com/book/show/1416925.Show_Stopper_,Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft,G. Pascal Zachary,null,Computer Science,"0029356717
                      (ISBN13: 9780029356715)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442369390l/1416925._SY475_.jpg,null
46,https://www.goodreads.com/book/show/208384.Silicon_Snake_Oil,Silicon Snake Oil: Second Thoughts on the Information Highway,Clifford Stoll,null,Nonfiction,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449509l/208384.jpg,(first published 1995)
47,https://www.goodreads.com/book/show/17210807-social-state,"Social State: Thoughts, Stats and Stories about the State of Social Media in 2013",Esteban Contreras,null,Nonfiction,B00ATTT2UG,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357415534l/17210807.jpg,null
48,https://www.goodreads.com/book/show/17993963-startup,Startup,Glenn Ogura,null,Fiction,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370221109l/17993963.jpg,null
49,https://www.goodreads.com/book/show/83533.The_Age_of_Spiritual_Machines,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,Ray Kurzweil,null,Sociology,"0140282025
                      (ISBN13: 9780140282023)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284708l/83533.jpg,(first published December 28th 1998)
50,https://www.goodreads.com/book/show/16241165-the-big-switch,"The Big Switch: Rewiring the World, from Edison to Google",Nicholas Carr,null,History,"039334522X
                      (ISBN13: 9780393345223)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367516473l/16241165.jpg,(first published January 17th 2008)
51,https://www.goodreads.com/book/show/15837974-the-boiler-plot,The Boiler Plot,Emily McDaid,null,,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345470770l/15837974.jpg,null
52,https://www.goodreads.com/book/show/134825.The_Cathedral_the_Bazaar,The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary,Eric S. Raymond,null,Science,"0596001088
                      (ISBN13: 9780596001087)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328835964l/134825.jpg,(first published October 1999)
53,https://www.goodreads.com/book/show/29608.The_Codebreakers,The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet,David Kahn,null,Computers,"0684831309
                      (ISBN13: 9780684831305)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492339589l/29608._SY475_.jpg,(first published January 1st 1963)
54,https://www.goodreads.com/book/show/1403028.The_Difference_Engine_,The Difference Engine : Charles Babbage And The Quest To Build The First Computer,Doron Swade,null,Mathematics,"0670910201
                      (ISBN13: 9780670910205)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428140069l/1403028.jpg,(first published April 13th 2000)
55,https://www.goodreads.com/book/show/17660462-the-everything-store,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,null,Business,"0316219266
                      (ISBN13: 9780316219266)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365394361l/17660462.jpg,null
56,https://www.goodreads.com/book/show/7518289-the-facebook-effect,The Facebook Effect: The Inside Story of the Company That is Connecting the World,David   Kirkpatrick,null,Technology,"1439102112
                      (ISBN13: 9781439102114)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442657421l/7518289._SY475_.jpg,(first published 2010)
57,https://www.goodreads.com/book/show/72012.The_Future_of_Ideas,The Future of Ideas: The Fate of the Commons in a Connected World,Lawrence Lessig,null,Nonfiction,"0375726446
                      (ISBN13: 9780375726446)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403185621l/72012.jpg,(first published 2001)
58,https://www.goodreads.com/book/show/2442173.The_Future_of_the_Internet_and_How_to_Stop_It,The Future of the Internet and How to Stop It,Jonathan L. Zittrain,null,History,"0300124872
                      (ISBN13: 9780300124873)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328828182l/2442173.jpg,(first published January 1st 2008)
59,https://www.goodreads.com/book/show/13229169-the-garden-of-the-world,The Garden of the World,Lawrence Coates,null,Fiction,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344711843l/13229169.jpg,null
60,https://www.goodreads.com/book/show/61182.The_Hacker_Crackdown,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,null,Computer Science,"055356370X
                      (ISBN13: 9780553563702)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446384046l/61182._SY475_.jpg,(first published November 1st 1992)
61,https://www.goodreads.com/book/show/18606951-the-intel-trinity,"The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company",Michael S. Malone,null,Science,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397422937l/18606951.jpg,null
62,https://www.goodreads.com/book/show/1729725.The_Making_of_Second_Life,The Making of Second Life: Notes from the New World,Wagner James Au,null,Computers,"0061353205
                      (ISBN13: 9780061353208)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442336261l/1729725._SY475_.jpg,null
63,https://www.goodreads.com/book/show/8201080-the-master-switch,The Master Switch: The Rise and Fall of Information Empires,Tim Wu,null,Computers,"0307269930
                      (ISBN13: 9780307269935)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320518400l/8201080.jpg,(first published 2010)
64,https://www.goodreads.com/book/show/25955.The_Medium_is_the_Massage,The Medium is the Massage,Marshall McLuhan,null,Theory,"1584230703
                      (ISBN13: 9781584230700)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598544928l/25955._SY475_.jpg,(first published 1967)
65,https://www.goodreads.com/book/show/10003400-the-net-delusion,The Net Delusion: The Dark Side of Internet Freedom,Evgeny Morozov,null,Philosophy,"1586488759
                      (ISBN13: 9781586488758)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297025324l/10003400.jpg,(first published November 16th 2010)
66,https://www.goodreads.com/book/show/10658.The_New_New_Thing,The New New Thing: A Silicon Valley Story,Michael   Lewis,null,Science,"0140296468
                      (ISBN13: 9780140296464)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442523392l/10658._SY475_.jpg,(first published 1999)
67,https://www.goodreads.com/book/show/32603496-the-one-device,The One Device: The Secret History of the iPhone,Brian Merchant,null,Science,"0593078411
                      (ISBN13: 9780593078419)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg,null
68,https://www.goodreads.com/book/show/324739.The_Perfect_Store,The Perfect Store: Inside eBay,Adam Cohen,null,Computers,"0316164933
                      (ISBN13: 9780316164931)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344267788l/324739.jpg,(first published May 25th 2003)
69,https://www.goodreads.com/book/show/2632830-the-pixar-touch,The Pixar Touch: The Making of a Company,David A. Price,null,Culture,"0307265757
                      (ISBN13: 9780307265753)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438915448l/2632830._SX318_.jpg,(first published January 1st 2008)
70,https://www.goodreads.com/book/show/1081637.The_Road_Ahead,The Road Ahead,Bill  Gates,null,Biography,"0670772895
                      (ISBN13: 9780670772896)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180829010l/1081637.jpg,null
71,https://www.goodreads.com/book/show/10146.The_Search,The Search: How Google and Its Rivals Rewrote the Rules of Business and Transformed Our Culture,John Battelle,null,Computer Science,"1591840880
                      (ISBN13: 9781591840886)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442839930l/10146._SY475_.jpg,(first published 2005)
72,https://www.goodreads.com/book/show/56545.The_Second_Coming_of_Steve_Jobs,The Second Coming of Steve Jobs,Alan Deutschman,null,Science,"0767904338
                      (ISBN13: 9780767904339)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388365742l/56545.jpg,(first published 2000)
73,https://www.goodreads.com/book/show/10847451-the-silicon-valley-way,The Silicon Valley Way: Discover 45 Secrets for Successful Start-Ups,Elton B. Sherwin Jr.,null,Business,English,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390800453l/10847451.jpg,(first published February 25th 1998)
74,https://www.goodreads.com/book/show/7090.The_Soul_of_a_New_Machine,The Soul of a New Machine,Tracy Kidder,null,Computer Science,"0316491977
                      (ISBN13: 9780316491976)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441207522l/7090.jpg,(first published 1981)
75,https://www.goodreads.com/book/show/14721.The_Wealth_of_Networks,The Wealth of Networks: How Social Production Transforms Markets and Freedom,Yochai Benkler,null,Science,"0300110561
                      (ISBN13: 9780300110562)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388756111l/14721.jpg,(first published January 1st 2006)
76,https://www.goodreads.com/book/show/12919862-the-wit-and-wisdom-of-steve-jobs,The Wit and Wisdom of Steve Jobs,Gennaro Salamone,null,Leadership,B005UI7YZG,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328641742l/12919862.jpg,null
77,https://www.goodreads.com/book/show/821987.Weaving_the_Web,Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web,Tim Berners-Lee,null,Nonfiction,"006251587X
                      (ISBN13: 9780062515872)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348418521l/821987.jpg,(first published 1999)
78,https://www.goodreads.com/book/show/725789.What_the_Dormouse_Said,What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,John Markoff,null,Science,"0143036769
                      (ISBN13: 9780143036760)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442903066l/725789._SY475_.jpg,(first published 2005)
79,https://www.goodreads.com/book/show/5100525-what-would-google-do,What Would Google Do?,Jeff Jarvis,null,Business,"0061709719
                      (ISBN13: 9780061709715)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349060717l/5100525.jpg,null
80,https://www.goodreads.com/book/show/6098718-wired-for-war,Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century,P.W. Singer,null,Politics,"1594201986
                      (ISBN13: 9781594201981)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442810259l/6098718._SY475_.jpg,(first published 2009)
81,https://www.goodreads.com/book/show/22875447-work-rules,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,null,Psychology,"1455554790
                      (ISBN13: 9781455554799)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420790922l/22875447.jpg,(first published January 1st 2015)
82,https://www.goodreads.com/book/show/37976541-bad-blood,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,null,Journalism,"152473165X
                      (ISBN13: 9781524731656)","Palo Alto, California",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556268702l/37976541.jpg,null
83,https://www.goodreads.com/book/show/2748.Microserfs,Microserfs,Douglas Coupland,null,Geek,"0060987049
                      (ISBN13: 9780060987046)","Redmond, Washington",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546099595l/2748.jpg,null
