web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
"1613083822-2779","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Road Ahead","https://www.goodreads.com/book/show/1081637.The_Road_Ahead","The Road Ahead","Bill  Gates","null","Management","0670772895
                      (ISBN13: 9780670772896)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180829010l/1081637.jpg","null"
"1613084101-3150","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Medium is the Massage","https://www.goodreads.com/book/show/25955.The_Medium_is_the_Massage","The Medium is the Massage","Marshall McLuhan","null","Technology","1584230703
                      (ISBN13: 9781584230700)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598544928l/25955._SY475_.jpg","(first published 1967)"
"1613084118-3168","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","https://www.goodreads.com/book/show/23395719-becoming-steve-jobs","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","Brent Schlender","null","Business","0771079141
                      (ISBN13: 9780771079146)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421713283l/23395719.jpg","null"
"1613084391-3516","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","In the Beginning...Was the Command Line","https://www.goodreads.com/book/show/18937.In_the_Beginning_Was_the_Command_Line","In the Beginning...Was the Command Line","Neal Stephenson","null","Computer Science","0380815931
                      (ISBN13: 9780380815937)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709658l/18937.jpg","(first published May 1999)"
"1613083589-2532","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way","https://www.goodreads.com/book/show/211099.Losing_My_Virginity","Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way","Richard Branson","null","Autobiography","0812932293
                      (ISBN13: 9780812932294)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388216295l/211099.jpg","(first published 1998)"
"1613083984-2997","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","How Google Works","https://www.goodreads.com/book/show/23158207-how-google-works","How Google Works","Eric Schmidt","null","Science","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422538855l/23158207.jpg","(first published September 1st 2014)"
"1613084446-3531","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Soul of a New Machine","https://www.goodreads.com/book/show/7090.The_Soul_of_a_New_Machine","The Soul of a New Machine","Tracy Kidder","null","Science","0316491977
                      (ISBN13: 9780316491976)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441207522l/7090.jpg","(first published 1981)"
"1613084293-3375","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Founders at Work: Stories of Startups' Early Days","https://www.goodreads.com/book/show/98233.Founders_at_Work","Founders at Work: Stories of Startups' Early Days","Jessica Livingston","null","Technology","1590597141
                      (ISBN13: 9781590597149)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439953323l/98233._SY475_.jpg","(first published 2001)"
"1613084319-3422","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The New New Thing: A Silicon Valley Story","https://www.goodreads.com/book/show/10658.The_New_New_Thing","The New New Thing: A Silicon Valley Story","Michael   Lewis","null","Economics","0140296468
                      (ISBN13: 9780140296464)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442523392l/10658._SY475_.jpg","(first published 1999)"
"1613084331-3431","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary","https://www.goodreads.com/book/show/134825.The_Cathedral_the_Bazaar","The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary","Eric S. Raymond","null","Programming","0596001088
                      (ISBN13: 9780596001087)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328835964l/134825.jpg","(first published October 1999)"
"1613083620-2575","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Flight Capital: The Alarming Exodus of America's Best and Brightest","https://www.goodreads.com/book/show/550119.Flight_Capital","Flight Capital: The Alarming Exodus of America's Best and Brightest","David Heenan","null","","0891062025
                      (ISBN13: 9780891062028)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347659499l/550119.jpg","null"
"1613083938-2934","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Hard Drive: Bill Gates and the Making of the Microsoft Empire","https://www.goodreads.com/book/show/41611.Hard_Drive","Hard Drive: Bill Gates and the Making of the Microsoft Empire","James Wallace","null","Computer Science","0887306292
                      (ISBN13: 9780887306297)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440431674l/41611._SY475_.jpg","(first published January 1st 1992)"
"1613084065-3104","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Age of Spiritual Machines: When Computers Exceed Human Intelligence","https://www.goodreads.com/book/show/83533.The_Age_of_Spiritual_Machines","The Age of Spiritual Machines: When Computers Exceed Human Intelligence","Ray Kurzweil","null","Science","0140282025
                      (ISBN13: 9780140282023)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284708l/83533.jpg","(first published December 28th 1998)"
"1613084259-3314","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet","https://www.goodreads.com/book/show/29608.The_Codebreakers","The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet","David Kahn","null","Nonfiction","0684831309
                      (ISBN13: 9780684831305)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492339589l/29608._SY475_.jpg","(first published January 1st 1963)"
"1613084232-3283","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything","https://www.goodreads.com/book/show/56825.Insanely_Great","Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything","Steven Levy","null","Cultural","0140291776
                      (ISBN13: 9780140291773)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924623l/56825.jpg","(first published July 5th 1993)"
"1613083550-2506","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","@War: The Rise of the Military-Internet Complex","https://www.goodreads.com/book/show/20448184-war","@War: The Rise of the Military-Internet Complex","Shane Harris","null","History","0544251792
                      (ISBN13: 9780544251793)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391614131l/20448184.jpg","(first published November 6th 2014)"
"1613084268-3340","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","https://www.goodreads.com/book/show/61182.The_Hacker_Crackdown","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","Bruce Sterling","null","Mystery","055356370X
                      (ISBN13: 9780553563702)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446384046l/61182._SY475_.jpg","(first published November 1st 1992)"
"1613083975-2987","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Groundswell: Winning in a World Transformed by Social Technologies","https://www.goodreads.com/book/show/2896061-groundswell","Groundswell: Winning in a World Transformed by Social Technologies","Charlene Li","null","Computers","1422125009
                      (ISBN13: 9781422125007)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg","(first published January 1st 2008)"
"1613084147-3219","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century","https://www.goodreads.com/book/show/6098718-wired-for-war","Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century","P.W. Singer","null","Science Fiction","1594201986
                      (ISBN13: 9781594201981)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442810259l/6098718._SY475_.jpg","(first published 2009)"
"1613083710-2666","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Hooking Up","https://www.goodreads.com/book/show/2025353.Hooking_Up","Hooking Up","Tom Wolfe","null","Journalism","0374103828
                      (ISBN13: 9780374103828)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423503927l/2025353.jpg","(first published 1989)"
"1613084232-3278","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything","https://www.goodreads.com/book/show/56825.Insanely_Great","Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything","Steven Levy","null","Business","0140291776
                      (ISBN13: 9780140291773)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924623l/56825.jpg","(first published July 5th 1993)"
"1613083929-2915","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Revolution in The Valley: The Insanely Great Story of How the Mac Was Made","https://www.goodreads.com/book/show/40492.Revolution_in_The_Valley","Revolution in The Valley: The Insanely Great Story of How the Mac Was Made","Andy Hertzfeld","null","Biography","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388288490l/40492.jpg","(first published December 6th 2004)"
"1613084319-3428","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The New New Thing: A Silicon Valley Story","https://www.goodreads.com/book/show/10658.The_New_New_Thing","The New New Thing: A Silicon Valley Story","Michael   Lewis","null","Buisness","0140296468
                      (ISBN13: 9780140296464)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442523392l/10658._SY475_.jpg","(first published 1999)"
"1613084378-3499","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","What Would Google Do?","https://www.goodreads.com/book/show/5100525-what-would-google-do","What Would Google Do?","Jeff Jarvis","null","Management","0061709719
                      (ISBN13: 9780061709715)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349060717l/5100525.jpg","null"
"1613083565-2520","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","https://www.goodreads.com/book/show/18465875-countdown-to-zero-day","Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","Kim Zetter","null","Computer Science","","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404960332l/18465875.jpg","(first published June 3rd 2014)"
"1613084462-3556","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Master Switch: The Rise and Fall of Information Empires","https://www.goodreads.com/book/show/8201080-the-master-switch","The Master Switch: The Rise and Fall of Information Empires","Tim Wu","null","Politics","0307269930
                      (ISBN13: 9780307269935)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320518400l/8201080.jpg","(first published 2010)"
"1613084338-3450","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Second Coming of Steve Jobs","https://www.goodreads.com/book/show/56545.The_Second_Coming_of_Steve_Jobs","The Second Coming of Steve Jobs","Alan Deutschman","null","Business","0767904338
                      (ISBN13: 9780767904339)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388365742l/56545.jpg","(first published 2000)"
"1613083652-2614","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Convergence Culture: Where Old and New Media Collide","https://www.goodreads.com/book/show/38860.Convergence_Culture","Convergence Culture: Where Old and New Media Collide","Henry Jenkins","null","Journalism","0814742815
                      (ISBN13: 9780814742815)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417984230l/38860.jpg","(first published 2006)"
"1613084357-3476","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry","https://www.goodreads.com/book/show/725789.What_the_Dormouse_Said","What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry","John Markoff","null","Science","0143036769
                      (ISBN13: 9780143036760)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442903066l/725789._SY475_.jpg","(first published 2005)"
"1613084301-3398","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground","https://www.goodreads.com/book/show/9319468-kingpin","Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground","Kevin Poulsen","null","Science","0307588688
                      (ISBN13: 9780307588685)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320477825l/9319468.jpg","null"
"1613083913-2897","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Net Delusion: The Dark Side of Internet Freedom","https://www.goodreads.com/book/show/10003400-the-net-delusion","The Net Delusion: The Dark Side of Internet Freedom","Evgeny Morozov","null","Business","1586488759
                      (ISBN13: 9781586488758)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297025324l/10003400.jpg","(first published November 16th 2010)"
"1613084249-3303","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Worm: The First Digital World War","https://www.goodreads.com/book/show/11396195-worm","Worm: The First Digital World War","Mark Bowden","null","Science","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314808724l/11396195.jpg","(first published January 1st 2011)"
"1613084044-3095","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Getting Real: The Smarter, Faster, Easier Way to Build a Web Application","https://www.goodreads.com/book/show/447648.Getting_Real","Getting Real: The Smarter, Faster, Easier Way to Build a Web Application","37 Signals","null","Science","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384467434l/447648.jpg","null"
